id,platform,problem_id,name,url,tags,rating,contest_id,solved_count,point,difficulty,cf_scaled_difficulty
codeforces_2115_B,Codeforces,B,Gellyfish and Camellia Japonica,https://codeforces.com/problemset/problem/2115/B,"['brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",2100.0,2115,2585,,,2100.0
codeforces_2115_A,Codeforces,A,Gellyfish and Flaming Peony,https://codeforces.com/problemset/problem/2115/A,"['constructive algorithms', 'dp', 'math', 'number theory']",1500.0,2115,10246,,,1500.0
codeforces_2114_G,Codeforces,G,Build an Array,https://codeforces.com/problemset/problem/2114/G,"['brute force', 'constructive algorithms', 'dp', 'greedy', 'math', 'number theory']",2200.0,2114,1343,,,2200.0
codeforces_2114_F,Codeforces,F,Small Operations,https://codeforces.com/problemset/problem/2114/F,"['binary search', 'brute force', 'dfs and similar', 'dp', 'math', 'number theory', 'sortings']",2000.0,2114,3750,,,2000.0
codeforces_2114_E,Codeforces,E,Kirei Attacks the Estate,https://codeforces.com/problemset/problem/2114/E,"['dfs and similar', 'dp', 'greedy', 'trees']",1400.0,2114,9937,,,1400.0
codeforces_2114_D,Codeforces,D,Come a Little Closer,https://codeforces.com/problemset/problem/2114/D,"['brute force', 'greedy', 'implementation', 'math']",1400.0,2114,11218,,,1400.0
codeforces_2114_C,Codeforces,C,Need More Arrays,https://codeforces.com/problemset/problem/2114/C,"['dp', 'greedy']",1000.0,2114,24152,,,1000.0
codeforces_2114_B,Codeforces,B,Not Quite a Palindromic String,https://codeforces.com/problemset/problem/2114/B,"['greedy', 'math']",900.0,2114,24423,,,900.0
codeforces_2114_A,Codeforces,A,Square Year,https://codeforces.com/problemset/problem/2114/A,"['binary search', 'brute force', 'math']",800.0,2114,33989,,,800.0
codeforces_2113_F,Codeforces,F,Two Arrays,https://codeforces.com/problemset/problem/2113/F,"['constructive algorithms', 'dfs and similar', 'graphs', 'math']",2500.0,2113,441,,,2500.0
codeforces_2113_E,Codeforces,E,From Kazan with Love,https://codeforces.com/problemset/problem/2113/E,"['dfs and similar', 'graphs', 'implementation', 'trees']",2800.0,2113,194,,,2800.0
codeforces_2113_D,Codeforces,D,Cheater,https://codeforces.com/problemset/problem/2113/D,"['binary search', 'constructive algorithms', 'greedy', 'implementation']",2200.0,2113,1601,,,2200.0
codeforces_2113_C,Codeforces,C,Smilo and Minecraft,https://codeforces.com/problemset/problem/2113/C,"['brute force', 'constructive algorithms', 'greedy']",1700.0,2113,5126,,,1700.0
codeforces_2113_B,Codeforces,B,Good Start,https://codeforces.com/problemset/problem/2113/B,"['constructive algorithms', 'math']",1200.0,2113,9767,,,1200.0
codeforces_2113_A,Codeforces,A,Shashliks,https://codeforces.com/problemset/problem/2113/A,"['greedy', 'math']",800.0,2113,15272,,,800.0
codeforces_2112_F,Codeforces,F,Variables and Operations,https://codeforces.com/problemset/problem/2112/F,"['graphs', 'greedy', 'shortest paths']",,2112,241,,,
codeforces_2112_E,Codeforces,E,Tree Colorings,https://codeforces.com/problemset/problem/2112/E,"['combinatorics', 'dfs and similar', 'dp', 'graphs', 'math', 'number theory', 'trees']",,2112,1598,,,
codeforces_2112_D,Codeforces,D,Reachability and Tree,https://codeforces.com/problemset/problem/2112/D,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees']",,2112,5264,,,
codeforces_2112_C,Codeforces,C,Coloring Game,https://codeforces.com/problemset/problem/2112/C,"['binary search', 'brute force', 'greedy', 'two pointers']",,2112,11069,,,
codeforces_2112_B,Codeforces,B,Shrinking Array,https://codeforces.com/problemset/problem/2112/B,"['brute force', 'greedy']",,2112,14049,,,
codeforces_2112_A,Codeforces,A,Race,https://codeforces.com/problemset/problem/2112/A,"['implementation', 'math']",,2112,20621,,,
codeforces_2111_G,Codeforces,G,Divisible Subarrays,https://codeforces.com/problemset/problem/2111/G,"['binary search', 'bitmasks', 'brute force', 'data structures', 'interactive']",2900.0,2111,222,,,2900.0
codeforces_2111_F,Codeforces,F,Puzzle,https://codeforces.com/problemset/problem/2111/F,"['brute force', 'constructive algorithms', 'greedy', 'math']",2400.0,2111,1018,,,2400.0
codeforces_2111_E,Codeforces,E,Changing the String,https://codeforces.com/problemset/problem/2111/E,"['binary search', 'data structures', 'greedy', 'implementation', 'sortings', 'strings']",1900.0,2111,3988,,,1900.0
codeforces_2111_D,Codeforces,D,Creating a Schedule,https://codeforces.com/problemset/problem/2111/D,"['constructive algorithms', 'data structures', 'greedy', 'implementation', 'sortings']",1400.0,2111,9176,,,1400.0
codeforces_2111_C,Codeforces,C,Equal Values,https://codeforces.com/problemset/problem/2111/C,"['brute force', 'greedy', 'two pointers']",1100.0,2111,14876,,,1100.0
codeforces_2111_B,Codeforces,B,Fibonacci Cubes,https://codeforces.com/problemset/problem/2111/B,"['brute force', 'dp', 'implementation', 'math']",1100.0,2111,14134,,,1100.0
codeforces_2111_A,Codeforces,A,Energy Crystals,https://codeforces.com/problemset/problem/2111/A,"['greedy', 'implementation', 'math']",800.0,2111,17702,,,800.0
codeforces_2110_F,Codeforces,F,Faculty,https://codeforces.com/problemset/problem/2110/F,"['brute force', 'greedy', 'math', 'number theory']",2400.0,2110,1284,,,2400.0
codeforces_2110_E,Codeforces,E,Melody,https://codeforces.com/problemset/problem/2110/E,"['dfs and similar', 'graphs', 'implementation']",2300.0,2110,1570,,,2300.0
codeforces_2110_D,Codeforces,D,Fewer Batteries,https://codeforces.com/problemset/problem/2110/D,"['binary search', 'dfs and similar', 'dp', 'graphs', 'greedy', 'hashing']",1700.0,2110,6131,,,1700.0
codeforces_2110_C,Codeforces,C,Racing,https://codeforces.com/problemset/problem/2110/C,"['constructive algorithms', 'greedy']",1400.0,2110,12007,,,1400.0
codeforces_2110_B,Codeforces,B,Down with Brackets,https://codeforces.com/problemset/problem/2110/B,['strings'],900.0,2110,21100,,,900.0
codeforces_2110_A,Codeforces,A,Fashionable Array,https://codeforces.com/problemset/problem/2110/A,"['implementation', 'sortings']",800.0,2110,24700,,,800.0
codeforces_2109_F,Codeforces,F,Penguin Steps,https://codeforces.com/problemset/problem/2109/F,"['binary search', 'dfs and similar', 'flows', 'graphs', 'shortest paths']",3000.0,2109,171,,,3000.0
codeforces_2109_E,Codeforces,E,Binary String Wowee,https://codeforces.com/problemset/problem/2109/E,"['combinatorics', 'dp', 'strings']",2400.0,2109,1002,,,2400.0
codeforces_2109_D,Codeforces,D,D/D/D,https://codeforces.com/problemset/problem/2109/D,"['dfs and similar', 'graphs', 'greedy', 'shortest paths']",1900.0,2109,3849,,,1900.0
codeforces_2109_C3,Codeforces,C3,Hacking Numbers (Hard Version),https://codeforces.com/problemset/problem/2109/C3,"['constructive algorithms', 'interactive', 'math', 'number theory']",2600.0,2109,2416,,,2600.0
codeforces_2109_C2,Codeforces,C2,Hacking Numbers (Medium Version),https://codeforces.com/problemset/problem/2109/C2,"['constructive algorithms', 'interactive', 'math', 'number theory']",1700.0,2109,6696,,,1700.0
codeforces_2109_C1,Codeforces,C1,Hacking Numbers (Easy Version),https://codeforces.com/problemset/problem/2109/C1,"['bitmasks', 'constructive algorithms', 'interactive', 'math', 'number theory']",1500.0,2109,8812,,,1500.0
codeforces_2109_B,Codeforces,B,Slice to Survive,https://codeforces.com/problemset/problem/2109/B,"['bitmasks', 'greedy', 'math']",1200.0,2109,14227,,,1200.0
codeforces_2109_A,Codeforces,A,It's Time To Duel,https://codeforces.com/problemset/problem/2109/A,['implementation'],800.0,2109,22988,,,800.0
codeforces_2108_F,Codeforces,F,Fallen Towers,https://codeforces.com/problemset/problem/2108/F,"['binary search', 'greedy']",2900.0,2108,346,,,2900.0
